311;343.041;Bíblia. Livros sagrados
312;343.043;Bulas papais. Breves papais. Atas pontificais
313;343.153;Cabidos
314;343.121;Cardeais
315;342.162;Casamento
316;341.741;Casamento de militar
317;342.268;Caução, garantia de segurança
318;343.672;Causas matrimoniais
319;343.351;Cemitérios
320;341.225;Centralização ou descentralização governamental e administrativa. Autonomia local (Home rule)
321;341.311;Centralização, descentralização
322;341.175;Cerimonial diplomático
323;343.112;Cessação do papado. Morte do Papa
324;342.238;Cessação e suspensão da falência. Reabilitação
325;341.171;Chefes e representantes dos Estados para as relações exteriores. Agentes diplomáticos em geral
326;342.248;Cheque
327;341.585;Ciência penal preventiva (Profilaxia criminal, meios de prevenir a criminalidade em geral. Preservação social contra o crime)
328;341.584;Ciência penal punitiva. Sistemas penitenciários
329;341.523;Circunstâncias e causas que modificam, atenuam, agravam ou excluem a imputabilidade
330;341.533;Circunstâncias em geral que agravam, atenuam ou anulam as infrações
331;341.526;Coação ou violência física e moral da vontade. Necessidade
332;344.712;Codicilo
333;343.056;Código de Direito Canônico (1918)
334;341.509;Código penal
335;341.122;Coisas e bens do Direito internacional
336;344.216;Coisas fungíveis
337;344.217;Coisas infungíveis
338;342.121;Coisas ou bens. Suas divisões
339;343.051;Coleções espúrias
340;343.343;Coletas
341;341.712;Comando militar e subordinação
342;342.212;Comerciantes. Condições para ser comerciante
343;341.176;Comércio diplomático. Negociações, atos, protocolo etc. Língua comercial
344;342.636;Comissões de conciliação prévia
345;344.425;Compensação
346;341.438;Competência e jurisdição em matéria penal
347;341.393;Competência tributária
348;341.418;Competência. Jurisdição. Atribuições
349;343.053;Compilação de Dionísio
350;343.054;Compilação de Graciano
351;344.015;Compilações
352;342.251;Compra. Venda
353;344.231;Conceito
354;342.611;Conceito de acidente de trabalho. Elementos para sua caracterização
355;344.401;Conceito de obrigação
356;341.301;Conceito. Teoria
357;341.601;Conceito. Teoria
358;342.601;Conceito. Teoria
359;341.353;Concessão, permissão, autorização de serviço público
360;343.151;Concílios. Concílios Ecumênicos. Concílios Provinciais e Plenários
361;343.042;Concordatas
362;342.276;Concorrência ilícita e desleal
363;344.623;Concubinato
364;341.281;Condições e bases diversas do direito de voto. Elegibilidade e Inelegibilidade
365;341.132;Condução e direção da guerra
366;341.118;Conferências e congressos internacionais. Conferência dos embaixadores
367;343.422;Confirmação. Crisma
368;341.161;Conflitos, litígios em geral
369;343.131;Congregações da Cúria Romana
370;343.172;Congregações monásticas
371;343.173;Congregações religiosas
372;341.853;Conhecimento aéreo
373;343.324;Consagração e bênção de coisas sacras
374;341.261;Conselho de segurança nacional
375;343.132;Conselhos Pontifícios
376;343.462;Consentimento
377;342.613;Conseqüências do acidente de trabalho
378;344.611;Constituição
379;343.221;Constituição das pessoas morais
380;344.261;Constituição e extinção das servidões
381;343.052;Constituições Apostólicas
382;343.044;Constituições papais
383;341.181;Cônsules em geral
384;342.258;Conta corrente
385;342.219;Contabilidade comercial. Livros de comércio. Contas, inventários, balanços
386;341.356;Contrato de gestão
387;341.352;Contratos administrativos
388;342.241;Contratos comerciais em geral
389;344.454;Contratos consensuais
390;341.354;Contratos de fornecimento
391;341.355;Contratos de serviços especializados
392;342.144;Contratos e convenções em geral
393;344.455;Contratos inominados
394;344.453;Contratos literais
395;342.145;Contratos particulares
396;344.451;Contratos reais
397;344.452;Contratos verbais
398;341.205;Controle concentrado. Sistema Europeu. Efeito vinculante. Súmula vinculante. Ação Direta de Inconstitucionalidade (ADIn). Ação Declaratória de Constitucionalidade (ADC)
399;341.202;Controle de Constitucionalidade
400;341.204;Controle Difuso. Reserva de Plenário. Suspensão da Lei pelo Senado. Sistema Americano. Stare Decisis
401;341.137;Convenção durante a guerra. Entrevista. Capitulação. Trégua. Armistício
402;341.185;Convenções consulares
403;344.635;Conventio in manum
404;341.254;Corpos no Estado (Classes, ordens, casta. Nobreza, clero, burguesia, camponeses, príncipes, grandes dignatários. Seus direitos corporativos)
405;343.055;Corpus Iuris Canonici
406;341.419;Cortes e tribunais
407;341.439;Cortes e tribunais penais em particular
408;343.047;Costume
409;342.297;Crédito marítimo. Empréstimos a risco marítimo
410;341.386;Crédito Público
411;341.394;Crédito tributário
412;341.151;Crimes contra a humanidade
413;341.152;Crimes contra a paz
414;341.153;Crimes de guerra
415;341.755;Crimes militares
416;341.598;Criminalística. Datiloscopia
417;341.612;Custeio da Seguridade Social
418;341.843;Custódia e guarda de passageiros e tripulantes
419;343.092;De Dionísio, o Exíguo até o Decreto de Graciano (1150)
420;343.093;De Graciano até o Concílio de Trento (1545)
421;341.142;Decisões judiciárias estrangeiras em matéria criminal
422;341.465;Decisões judiciárias. Vias de execução. Vias de recurso
423;341.871;Defesa antiaérea. Proteção antiaérea
424;344.233;Defesa da propriedade
425;344.116;Defesa dos direitos
426;344.424;Delegação
427;341.232;Delegação de poderes em geral. Delegação a organismos privados
428;341.591;Delinqüentes ou criminosos e suas espécies
429;341.234;Democracia. Governo popular. Estado de Direito
430;342.259;Depósito. Consignação
431;341.167;Desarmamento. Paz permanente, durável
432;341.731;Deserção
433;341.382;Despesa Pública
434;341.172;Deveres e atribuições dos agentes diplomáticos
435;341.336;Deveres e obrigações dos servidores
436;341.713;Deveres militares
437;342.299;Direito aeronáutico
438;342.299;Direito Aeronáutico (Ver também 341.8)
439;341.347;Direito Ambiental
440;342.234;Direito bancário
441;341.343;Direito das águas. Águas públicas
442;341.378;Direito Econômico
443;342.165;Direito hereditário ou das Sucessões
444;341.253;Direito parlamentar. Parlamentos e assembléias
445;341.272;Direitos da Pessoa Humana. O Estado e os indivíduos. Liberdades Públicas
446;343.344;Direitos de chancelaria por atos administrativos e judiciais
447;343.341;Direitos de estola
448;341.123;Direitos e deveres essenciais e recíprocos dos Estados
449;344.741;Direitos e obrigações dos herdeiros
450;341.338;Direitos e vantagens
451;342.112;Direitos em geral
452;342.122;Direitos reais em geral
453;342.124;Direitos reais segundo o objeto ao qual dizem respeito
454;341.173;Direitos, imunidades, franquias dos agentes diplomáticos
455;343.242;Dispensa
456;341.747;Dispensas de serviço
457;343.464;Dispensas e convalidações
458;341.844;Disposições de segurança
459;343.466;Dissolução do matrimônio
460;343.222;Diversas categorias de pessoas morais
461;341.136;Diversas espécies de guerra
462;341.414;Diversos auxiliares da Justiça. Oficiais de Justiça
463;341.532;Divisão e classificação das infrações: crimes, delitos e contravenções. Seus caracteres respectivos
464;343.342;Dízimos
465;343.094;Do Concílio de Trento até o Código Canônico (1918)
466;344.664;Doação ante nuptias
467;343.346;Doações
468;341.851;Documentos de transporte. Bilhete de passagem
469;344.663;Dote
470;341.223;Dualismo político
471;342.634;Duração e vigência
472;343.322;Edifícios sagrados
473;342.142;Efeitos das obrigações
474;340.324;Eficácia da lei no espaço
475;340.323;Eficácia da lei no tempo. Direito intertemporal. Conflitos de leis no tempo
476;340.328;Elaboração, redação, alteração e consolidação das leis. Técnica legislativa
477;343.111;Eleição do Papa
478;342.631;Elementos da convenção coletiva. Eficácia, formação e conteúdo
479;342.255;Empréstimo comercial. Juro. Usura
480;343.045;Encíclicas
481;344.255;Enfiteuse
482;341.842;Entrada e saída de pessoas
483;343.095;Época atual
484;343.091;Época primitiva até às coleções do monge Dionísio, o Exíguo (500)
485;342.293;Equipagem. Pessoal marítimo. Contrato de engajamento
486;341.348;Espaço aéreo
487;344.621;Esponsais
488;342.215;Estabelecimentos comerciais. Fundos de comércio. Sucursais
489;341.581;Estabelecimentos penitenciários
490;342.118;Estado civil. Constatação do estado das pessoas
491;343.212;Estado clerical
492;341.278;Estado de guerra
493;341.131;Estado de guerra ou beligerância. Declaração de guerra. Ultimatum
494;341.277;Estado de sítio. Estado de emergência. Governo militar. Lei marcial
495;341.228;Estado Liberal Clássico. Welfare State
496;343.215;Estado religioso
497;343.521;Excomunhão
498;343.327;Execração
499;341.767;Execução da sentença
500;341.321;Execução Direta. Órgãos da Administração direta
501;341.322;Execução Indireta. Órgãos da Administração indireta
502;341.143;Expulsão, deportação de estrangeiros. Refugiados. Direito de asilo
503;342.635;Extensão da convenção coletiva
504;342.143;Extinção das obrigações
505;341.144;Extradição de acusados e condenados
506;343.362;Faculdades e graus acadêmicos
507;341.729;Falecimento de militar
508;342.236;Falência
509;342.161;Família
510;341.462;Fases do processo
511;341.224;Federalismo. Confederalismo
512;341.723;Férias
513;342.625;Férias. Conceito
514;341.133;Feridos e doentes militares. Convenção de Genebra (Cruz Vermelha). Navioshospitais
515;343.348;Fidúcias
516;344.631;Filiação legítima
517;344.632;Filiação natural
518;342.163;Filiação. Pais e filhos
519;341.138;Fim da guerra. Volta ao estado de paz
520;343.461;Finalidades do matrimônio
521;341.592;Física criminal (Influência do meio físico sobre a criminalidade)
522;341.594;Fisiologia e biologia dos delinqüentes
523;344.014;Fontes (costume, lex, plebiscito, senatusconsulto, éditos dos Magistrados, respostas dos jurisconsultos, constituições Imperiais etc.)
524;342.632;Forma da convenção coletiva. Celebração e partes
525;341.237;Forma de Governo. Monarquia constitucional. Governo parlamentar
526;341.463;Formalidades judiciárias. Instrução. Debates e discussão
527;341.631;Formas de Assistência
528;341.282;Formas e sistemas diversos do direito de sufrágio
529;341.762;Foro militar
530;341.554;Fraudes no comércio e indústria. Crimes contra a economia popular
531;341.182;Funções e atribuições dos cônsules
532;343.347;Fundações pias
533;343.353;Funerais de religiosos e de religiosas
534;341.274;Garantias constitucionais dos direitos individuais
535;341.227;Governo provisório. Governo revolucionário
536;342.661;Greve. Direito de greve
537;341.139;Guerra civil
538;340.321;Hierarquia das leis
539;341.711;Hierarquia militar. Postos militares, graduação
540;342.298;Hipoteca naval
541;342.127;Hipotecas. Garantias reais. Dívidas sobre imóveis
542;340.981;História do Direito Brasileiro
543;341.529;Ignorância. Erro
544;341.395;Ilícito tributário
545;343.463;Impedimentos canônicos
546;341.396;Impostos
547;343.345;Impostos
548;341.752;Imputabilidade
549;341.522;Imputabilidade e responsabilidade em geral
550;341.524;Imputabilidade em relação à idade
551;343.325;Imunidade local
552;342.615;Indenização. Garantia da indenização
553;341.345;Indígenas. Estatuto do índio. Colonos nas colônias
554;341.864;Infrações
555;341.553;Infrações contra a fé pública
556;341.557;Infrações contra a propriedade
557;341.556;Infrações contra as pessoas
558;341.551;Infrações contra o Estado e contra a administração
559;341.555;Infrações contra os bons costumes, a ordem das, famílias e a moralidade
560;341.141;Infrações de direito comum. Infrações diversas cometidas no estrangeiro ou por estrangeiros. Aplicações da lei penal quanto ao espaço
561;341.146;Infrações internacionais. Pessoas puníveis. Agentes das infrações
562;341.147;Infrações puníveis
563;341.552;Infrações relativas às liberdades fundamentais
564;342.652;Início e fim do contrato de trabalho
565;341.174;Início, suspensão e fim da missão diplomática
566;344.714;Instituição do herdeiro
567;341.624;Instituições de Previdência
568;342.235;Instituições financeiras. Fundos de investimento
569;342.231;Instituições tendo por objetivo pôr em contato produtores e compradores e proteger seus interesses
570;341.433;Instrução penal
571;342.232;Intermediários do comércio. Agentes de câmbio. Corretores
572;340.326;Interpretação da lei. Hermenêutica
573;343.049;Interpretação das fontes
574;341.203;Intervenção nos estados. Representação interventiva
575;341.333;Investidura nas funções públicas. Forma de escolha dos candidatos. Provimento. Condições para o acesso às funções públicas. Nacionalidade, idade, sexo, nível de escolaridade, condições de saúde etc
576;341.344;Jazidas. Código de Minas
577;343.432;Jejum eucarístico
578;342.265;Jogo, aposta
579;342.622;Jornada de trabalho. Duração da jornada de trabalho. Interrupção obrigatória
580;341.435;Julgamento e vias de recursos
581;340.691;Jurisprudência da Consultoria-Geral da República
582;340.694;Jurisprudência da Procuradoria da Fazenda Nacional
583;340.693;Jurisprudência do DASP
584;340.692;Jurisprudência fiscal
585;341.164;Justiça internacional. Tribunais internacionais
586;341.769;Justiça militar em tempo de guerra
587;342.627;Lazer. Organização do lazer
588;343.135;Legados pontifícios
589;341.332;Legislação de pessoal. Estatuto dos funcionários
590;341.528;Legítima defesa. Provocação
591;342.101;Lei de introdução ao Código Civil
592;342.246;Letras de câmbio
593;342.641;Liberdade sindical. Unidade e pluralidade sindical
594;341.724;Licenças
595;341.371;Licenças de funcionamento. Alvarás. Permissão de serviços
596;341.276;Limitação e suspensão das garantias e liberdades constitucionais. Leis de exceção
597;341.377;Limitações à propriedade
598;342.239;Liquidação judiciária. Administração judiciária para o restabelecimento dos negócios do falido
599;343.321;Liturgia
600;342.662;Lock-out
601;341.412;Magistrados. Magistratura judiciária
602;342.262;Mandato. Comissão
603;342.272;Marcas de fábrica e de comércio
604;344.622;Matrimônio legítimo
605;341.166;Medidas de execução das sentenças: indenizações
606;341.754;Medidas de segurança
607;341.768;Medidas de segurança
608;342.617;Medidas preventivas dos acidentes de trabalho. Higiene e segurança do trabalho
609;341.162;Meios amigáveis de terminar os conflitos
610;341.165;Meios de coação além da guerra
611;342.682;Ministério Público do Trabalho
612;341.413;Ministério público. Procuradorias. Advocacia pública. Advocacia-Geral da União. Defensoria pública
613;343.166;Missões. Quase-Paróquias
614;342.651;Modalidades de contrato de trabalho
615;342.273;Modelos e desenhos de fabricação
616;344.232;Modos de aquisição da propriedade
617;341.236;Monarquia absoluta. Realeza. Império
618;341.339;Movimentação de servidores
619;342.213;Mulheres e menores comerciantes
620;342.285;Música
621;341.113;Nações Unidas (ONU) (1945)
622;341.331;Natureza jurídica da relação de emprego público
623;342.291;Navios de comércio
624;341.135;Neutros durante a guerra
625;342.274;Nome comercial. Firma
626;341.852;Nota de bagagem
627;341.411;Notário. Tabeliães. Direito notarial
628;344.423;Novação
629;341.765;Nulidades
630;341.257;O povo. Direitos populares
631;342.218;Objeto do comércio em geral
632;342.281;Obras escritas e faladas
633;343.431;Obrigação de comungar
634;341.392;Obrigação Tributária
635;342.653;Obrigações do empregado
636;342.654;Obrigações do empregador. Cumprimento das condições do contrato. Salário. Remuneração do trabalho
637;342.141;Obrigações em geral
638;340.322;Obrigatoriedade das leis. Eficácia
639;343.214;Ofício eclesiástico
640;341.383;Orçamento
641;341.527;Ordem da lei. Comando da autoridade
642;343.171;Ordens
643;343.423;Ordens
644;341.115;Organismos Internacionais Regionais - Europa Ocidental e Atlântico Norte
645;342.289;Organização administrativa do direito artístico e literário
646;342.279;Organização administrativa. Registro de patentes
647;341.761;Organização da Justiça militar
648;341.437;Organização da justiça repressiva em geral
649;341.611;Organização da Seguridade Social
650;341.416;Organização e administração da Justiça em geral
651;342.681;Organização Judiciária do Trabalho
652;341.116;Organizações Internacionais Regionais - Leste Europeu
653;341.114;Organizações Internacionais Regionais-América
654;343.134;Órgãos executivos
655;341.525;Outras causas que modificam, excluem ou diminuem a responsabilidade. Irresponsabilidade
656;344.218;Outras divisões das coisas
657;342.168;Outras espécies de sucessões por modos particulares
658;341.397;Outras espécies de tributos
659;343.048;Outras fontes
660;342.148;Outras formas contratuais
661;342.663;Outras formas de conflitos
662;344.426;Outras formas de extinção das obrigações
663;341.117;Outras Organizações Internacionais Regionais
664;342.228;Outras sociedades comerciais. Trading Company
665;342.125;Outros direitos reais além da propriedade
666;341.559;Outros ilícitos penais
667;344.456;Pacto
