Seq.;Área;Nivel1;Nivel2;Nivel3;Nivel4;Nivel5;Nivel6;CDD;Descrição;;
184;341;;;;;;;341.1147;Área de Livre Comércio das Américas (ALCA);;
185;341;;;;;;;341.1148;Mercado Comum do Sul (MERCOSUL);;
186;341;;;;;;;341.11481;Conselho do Mercado Comum;;
187;341;;;;;;;341.11482;Comissão de Comércio;;
188;341;;;;;;;341.11483;Comissão Parlamentar Conjunta;;
189;341;;;;;;;341.11484;Fórum Consultivo Econômico e Social;;
190;341;;;;;;;341.11485;Secretaria Administrativa do Mercosul;;
191;341;;;;;;;341.11486;Protocolo de Ouro Preto;;
192;341;;;;;;;341.11487;Tratado de Assunção;;
193;341;;;;;;;341.11488;Tratado de Integração Cultural do MERCOSUL;;
194;341;;;;;;;341.1149;Outras Organizações Regionais - América;;
195;341;;;;;;;341.11491;Tratado de Cooperação Amazônica (TCA);;
196;341;;;;;;;341.11492;Sistema Econômico Latino-Americano (SELA);;
197;341;;;;;;;341.11493;Organização Panamericana de Saúde (OPAS);;
198;341;;;;;;;341.11494;Grupo do Rio;;
199;341;;;;;;;341.115;Organismos Internacionais Regionais - Europa Ocidental e Atlântico Norte;;
200;341;;;;;;;341.1151;Comunidade Econômica Européia (CEE). Mercado Comum Europeu (MCE);;
201;341;;;;;;;341.11511;Comissão Européia;;
202;341;;;;;;;341.11512;Conselho da União Européia;;
203;341;;;;;;;341.11513;Parlamento Europeu;;
204;341;;;;;;;341.11514;Banco Central Europeu;;
205;341;;;;;;;341.11515;Banco Europeu de Investimentos;;
206;341;;;;;;;341.1152;Comunidade Européia do Carvão e do Aço (CECA);;
207;341;;;;;;;341.1153;Comunidade Européia de Energia Atômica (EURATOM);;
208;341;;;;;;;341.1154;Organização do Tratado do Atlântico Norte (OTAN);;
209;341;;;;;;;341.1155;Organização Para a Cooperação e Desenvolvimento Econômico (OCDE);;
210;341;;;;;;;341.116;Organizações Internacionais Regionais - Leste Europeu;;
211;341;;;;;;;341.1161;Tratado de Amizade, Cooperação e Assistência Mútua (Pacto de Varsóvia);;
212;341;;;;;;;341.1162;Conselho de Assistência Mútua (COMECON);;
213;341;;;;;;;341.117;Outras Organizações Internacionais Regionais;;
214;341;;;;;;;341.1171;Liga dos Estados Árabes (LEA);;
215;341;;;;;;;341.1172;Organização da Unidade Africana (OUA);;
216;341;;;;;;;341.1173;Organização dos Países Exportadores Petróleo (OPEP);;
217;341;;;;;;;341.1174;Organização para a Libertação da Palestina (OLP). Autoridade Palestina;;
218;341;;;;;;;341.1175;Zona de Paz e Cooperação do Atlântico Sul (ZPCAS);;
219;341;;;;;;;341.1176;Cúpula Ibero-Americana;;
220;341;;;;;;;341.1177;Comunidade dos Países de Língua Portuguesa (CPLP);;
221;341;;;;;;;341.118;Conferências e congressos internacionais. Conferência dos embaixadores;;
222;341;;;;;;;341.12;Pessoas e coisas do Direito Internacional. Relações internacionais;;
223;341;;;;;;;341.121;Pessoas do Direito internacional. Estados. Classificação dos Estados;;
224;341;;;;;;;341.1211;Estados soberanos;;
225;341;;;;;;;341.1212;Estados semi-soberanos, protegidos, tributários. Estados sob mandato.;;
226;341;;;;;;;341.1213;Estados unitários e uniões de Estados em geral;;
227;341;;;;;;;341.12131;Estado unitário;;
228;341;;;;;;;341.12132;União pessoal;;
229;341;;;;;;;341.12133;Estado coletivo. União real;;
230;341;;;;;;;341.12134;Estado federal. Federação de Estados;;
231;341;;;;;;;341.12135;Estados confederados. Confederação de Estados. Domínios. Colônias autônomas;;
232;341;;;;;;;341.1214;Estados neutros. Neutralidade permanente;;
233;341;;;;;;;341.1215;Outras pessoas do Direito internacional;;
234;341;;;;;;;341.12151;Igrejas. Santa Sé;;
235;341;;;;;;;341.12152;Associações internacionais. Personificação civil;;
236;341;;;;;;;341.12153;Organismos diversos permanentes, temporários ou periódicos (exposições internacionais, jogos olímpicos);;
237;341;;;;;;;341.12154;Cidadania Mundial;;
238;341;;;;;;;341.12155;Empresas Multinacionais;;
239;341;;;;;;;341.1216;Grandes e pequenas potências. Dominação universal, imperialismo, hegemonia, supremacia;;
240;341;;;;;;;341.1217;Associações de Estados, uniões, alianças;;
241;341;;;;;;;341.1218;Origem, transformação e fim dos Estados;;
242;341;;;;;;;341.12181;Formação dos Estados;;
243;341;;;;;;;341.12182;Reconhecimento dos Estados novos. Reconhecimento dos governos;;
244;341;;;;;;;341.12183;Sucessão de um Estado a um Estado;;
245;341;;;;;;;341.12184;Transformação dos Estados. Mudança de território e de governo dos Estados;;
246;341;;;;;;;341.12185;Desmembramento;;
247;341;;;;;;;341.12186;Fim dos Estados;;
248;341;;;;;;;341.1219;O homem como pessoa de Direito internacional;;
249;341;;;;;;;341.12191;Direitos primordiais do homem. Declaração Universal dos direitos dohomem;;
250;341;;;;;;;341.12192;Proteção à pessoa humana. Proteção às minorias;;
251;341;;;;;;;341.12193;Nacionalidade;;
252;341;;;;;;;341.121931;Nacionalidade originária;;
253;341;;;;;;;341.121932;Nacionalidade adquirida;;
254;341;;;;;;;341.121933;Estrangeiros. Condição jurídica;;
255;341;;;;;;;341.121934;Apátridas;;
256;341;;;;;;;341.121935;Polipátridas;;
257;341;;;;;;;341.121936;Perda e reaquisição da nacionalidade;;
258;341;;;;;;;341.12194;Deslocamento da pessoa humana;;
259;341;;;;;;;341.121941;Imigração. Sistema de quotas;;
260;341;;;;;;;341.121942;Regime de passaporte;;
261;341;;;;;;;341.122;Coisas e bens do Direito internacional;;
262;341;;;;;;;341.1221;Território em geral;;
263;341;;;;;;;341.12211;Território fluvial;;
264;341;;;;;;;341.12212;Território lacustre e marítimo;;
265;341;;;;;;;341.12213;Território das colônias;;
266;341;;;;;;;341.12214;Internacionalização, extraterritorialidade, neutralização. Zona neutra. Território colocado temporariamente ou definitivamente sob administração internacional;;
267;341;;;;;;;341.1222;Fronteiras. Delimitações dos Estados. Fronteiras naturais: montanhas, rios etc. Fronteiras artificiais, históricas, estratégicas;;
268;341;;;;;;;341.1223;Aquisição, alienação e perda de território;;
269;341;;;;;;;341.12231;Ocupação. Posse, descobrimento;;
270;341;;;;;;;341.12232;Anexação;;
271;341;;;;;;;341.12233;Alienação voluntária: venda, cessão, troca, doação, locação, concessão;;
272;341;;;;;;;341.12234;Plebiscito. Opção;;
273;341;;;;;;;341.12235;Hipoteca;;
274;341;;;;;;;341.12237;Penetração pacífica;;
275;341;;;;;;;341.1224;Cursos d'água, canais internacionais, canais marítimos;;
